RunID,1,2,3
136,5,2,9
137,1,1,8
138,2,2,9
139,1,2,5
141,1,3,1
142,1,3,4
143,2,4,10
145,1,7,7
146,1,3,5
147,6,2,7
148,9,4,3
149,2,0,2
150,6,2,7
151,2,4,2
152,6,1,0
153,9,3,8
154,11,3,5
155,10,3,2
156,0,0,0
157,0,6,3
158,2,10,2
159,4,3,4
160,6,17,6
161,3,6,6
162,2,0,0
163,3,4,12
164,4,4,0
167,1,3,9
168,3,3,3
170,10,2,10
171,5,1,0
172,3,2,12
173,5,3,11
174,6,8,2
175,1,3,12
176,10,4,1
177,19,2,13
179,9,3,3
180,2,2,2
181,10,1,0
183,13,10,7
186,14,13,0
187,4,4,3
188,7,12,10
189,9,4,2
191,5,6,9
192,4,1,0
193,7,7,5
194,7,9,5
195,16,4,12
196,10,3,8
197,12,4,14
198,7,5,6
199,9,7,3
200,3,4,11
201,12,0,0
202,22,7,1
203,21,4,0
204,0,0,2
205,4,8,0
206,4,0,2
207,5,1,0
208,8,7,15
209,9,8,11
210,13,0,14
211,0,2,19
212,0,11,16
213,4,8,14
214,11,3,7
215,8,12,10
216,10,2,3
217,2,3,0
218,7,3,11
219,5,4,0
220,1,4,15
221,7,4,1
222,7,5,31
223,1,2,0
224,6,4,1
225,7,4,6
227,12,5,10
228,9,7,25
229,7,3,0
230,10,6,7
231,2,5,10
232,6,3,4
233,17,8,13
234,5,5,9
235,14,5,3
236,7,1,1
237,11,6,3
238,18,6,1
239,10,2,2
240,2,2,1
241,3,1,1
242,10,2,5
243,9,2,1
244,2,1,7
245,1,0,1
246,5,2,1
248,10,3,1
249,6,10,5
250,11,12,11
251,5,9,3
252,4,5,4
253,5,9,0
254,2,1,0
255,5,0,0
258,2,5,8
259,1,2,0
260,7,7,6
261,8,4,3
262,1,4,0
263,1,5,2
264,0,0,0
265,3,5,32
266,6,2,13
267,1,2,0
268,2,7,1
269,0,0,6
270,14,10,28
271,0,0,0
272,0,0,0
273,10,2,15
274,1,2,10
275,2,5,9
276,7,0,0
277,6,1,14
278,5,3,4
279,18,4,14
280,2,3,0
281,3,2,0
282,2,0,6
284,3,0,4
285,9,1,0
286,2,3,7
287,0,1,1
288,6,7,10
289,14,1,9
290,8,2,6
291,22,5,8
292,5,2,3
296,1,0,0
